,ROC AUC,Average Precision
STABL Lasso,"0.800 [0.728, 0.872]","0.865 [0.796, 0.923]"
STABL ALasso,"0.770 [0.692, 0.834]","0.851 [0.778, 0.912]"
STABL ElasticNet,"0.826 [0.753, 0.882]","0.877 [0.806, 0.934]"
Union STABL Lasso & STABL ALasso,"0.813 [0.747, 0.880]","0.876 [0.812, 0.927]"
Intersect STABL Lasso & STABL ALasso,"0.733 [0.654, 0.808]","0.822 [0.743, 0.888]"
Union STABL Lasso & STABL ElasticNet,"0.825 [0.758, 0.890]","0.878 [0.810, 0.936]"
Intersect STABL Lasso & STABL ElasticNet,"0.799 [0.727, 0.865]","0.862 [0.784, 0.920]"
Union STABL ALasso & STABL ElasticNet,"0.835 [0.769, 0.890]","0.885 [0.819, 0.938]"
Intersect STABL ALasso & STABL ElasticNet,"0.736 [0.658, 0.813]","0.823 [0.743, 0.894]"
