,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.835 [0.773, 0.889]","0.896 [0.845, 0.939]","7.000 [5.000, 9.000]","0.200 [0.133, 0.286]"
STABL ALasso,"0.797 [0.723, 0.864]","0.869 [0.804, 0.923]","6.000 [4.000, 8.000]","0.083 [0.000, 0.125]"
STABL ElasticNet,"0.862 [0.805, 0.916]","0.912 [0.862, 0.952]","19.500 [11.000, 31.000]","0.214 [0.151, 0.289]"
