,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.425 [0.339, 0.510]","0.372 [0.305, 0.465]","4.000 [1.000, 8.250]","0.062 [0.000, 0.200]"
STABL ALasso,"0.395 [0.314, 0.478]","0.358 [0.289, 0.451]","2.000 [0.750, 6.000]","0.000 [0.000, 0.167]"
STABL XGBoost,"0.459 [0.421, 0.494]","0.392 [0.320, 0.468]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
