,Feature Name
Feature n°1,CD8_T_cells_CD80_CD86+_stromal_GranzymeB
Feature n°2,Stroma_vascular_endothelium_stromal_GranzymeB
Feature n°3,Stroma_fibroblast_glandfront_GranzymeB
Feature n°4,Stroma_fibroblast_stromal_GranzymeB
Feature n°5,NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB
Feature n°6,NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB
Feature n°7,NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB
Feature n°8,Macrophages_M1-like_stromal_GranzymeB
Feature n°9,Macrophages_M1_M2_stromal_GranzymeB
Feature n°10,Dendritic_Cells_CD33+_stromal_GranzymeB
Feature n°11,Dendritic_Cells_CD86CD33dp_stromal_GranzymeB
Feature n°12,Neutrophils_stromal_VEGF
Feature n°13,aSMA-br_fibroblast_stromal_GranzymeB
Feature n°14,aSMA-br_vascular_endothelium_glandfront_Ki67
Feature n°15,aSMA-br_vascular_endothelium_stromal_GranzymeB
Feature n°16,aSMA-br_vascular_endothelium_stromal_Ki67
Feature n°17,Gland_glandular_epithelium_glandfront_Ki67
Feature n°18,Gland_glandular_epithelium_intragland_Ki67
