,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.567 [0.488, 0.638]","0.548 [0.460, 0.648]","10.000 [6.000, 16.250]","0.111 [0.053, 0.176]"
STABL ALasso,"0.548 [0.475, 0.622]","0.535 [0.456, 0.639]","7.000 [4.000, 12.000]","0.091 [0.000, 0.154]"
STABL ElasticNet,"0.486 [0.413, 0.560]","0.501 [0.428, 0.604]","5.000 [2.000, 13.250]","0.015 [0.000, 0.111]"
STABL XGBoost,"0.634 [0.561, 0.710]","0.630 [0.534, 0.725]","25.000 [20.000, 32.250]","0.235 [0.182, 0.290]"
