,R2,RMSE,MAE
STABL Lasso,"0.806 [0.734, 0.862]","14.162 [11.995, 16.356]","10.781 [9.480, 12.246]"
STABL XGBoost,"0.803 [0.741, 0.850]","14.258 [12.496, 16.101]","11.230 [9.919, 12.658]"
STABL ALasso,"0.806 [0.733, 0.863]","14.151 [12.240, 16.269]","10.771 [9.413, 12.313]"
STABL ElasticNet,"0.802 [0.724, 0.858]","14.300 [12.099, 16.781]","10.907 [9.484, 12.438]"
Union STABL Lasso & STABL XGBoost,"0.811 [0.742, 0.861]","13.982 [11.921, 16.034]","10.614 [9.226, 12.088]"
Intersect STABL Lasso & STABL XGBoost,"0.776 [0.703, 0.831]","15.216 [13.073, 17.401]","11.958 [10.507, 13.536]"
Union STABL Lasso & STABL ALasso,"0.808 [0.733, 0.864]","14.094 [11.968, 16.212]","10.707 [9.280, 12.170]"
Intersect STABL Lasso & STABL ALasso,"0.776 [0.712, 0.830]","15.216 [13.192, 17.339]","11.958 [10.481, 13.554]"
Union STABL Lasso & STABL ElasticNet,"0.797 [0.721, 0.856]","14.503 [12.323, 16.969]","11.062 [9.698, 12.502]"
Intersect STABL Lasso & STABL ElasticNet,"0.776 [0.698, 0.830]","15.216 [13.185, 17.482]","11.958 [10.528, 13.450]"
Union STABL XGBoost & STABL ALasso,"0.808 [0.731, 0.863]","14.089 [12.081, 16.236]","10.669 [9.267, 12.202]"
Intersect STABL XGBoost & STABL ALasso,"0.776 [0.706, 0.830]","15.216 [13.068, 17.408]","11.958 [10.407, 13.376]"
Union STABL XGBoost & STABL ElasticNet,"0.797 [0.716, 0.851]","14.488 [12.227, 16.972]","11.057 [9.664, 12.625]"
Intersect STABL XGBoost & STABL ElasticNet,"0.776 [0.704, 0.829]","15.216 [13.245, 17.343]","11.958 [10.488, 13.513]"
Union STABL ALasso & STABL ElasticNet,"0.801 [0.722, 0.858]","14.363 [12.102, 16.880]","10.978 [9.619, 12.541]"
Intersect STABL ALasso & STABL ElasticNet,"0.776 [0.701, 0.828]","15.216 [13.133, 17.385]","11.958 [10.488, 13.537]"
