,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.454 [0.409, 0.495]","0.390 [0.322, 0.458]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.494 [0.479, 0.500]","0.406 [0.332, 0.476]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.573 [0.487, 0.658]","0.477 [0.387, 0.603]","9.000 [6.000, 13.250]","0.286 [0.214, 0.375]"
