,ROC AUC,Average Precision
STABL Lasso,"0.665 [0.592, 0.739]","0.700 [0.612, 0.785]"
STABL XGBoost,"0.617 [0.541, 0.690]","0.626 [0.543, 0.730]"
STABL ALasso,"0.667 [0.597, 0.737]","0.695 [0.611, 0.782]"
Union STABL Lasso & STABL XGBoost,"0.661 [0.592, 0.724]","0.688 [0.602, 0.778]"
Intersect STABL Lasso & STABL XGBoost,"0.587 [0.513, 0.663]","0.621 [0.538, 0.721]"
Union STABL Lasso & STABL ALasso,"0.681 [0.605, 0.748]","0.714 [0.627, 0.797]"
Intersect STABL Lasso & STABL ALasso,"0.660 [0.588, 0.732]","0.692 [0.600, 0.782]"
Union STABL XGBoost & STABL ALasso,"0.677 [0.603, 0.745]","0.694 [0.598, 0.782]"
Intersect STABL XGBoost & STABL ALasso,"0.575 [0.495, 0.643]","0.609 [0.525, 0.703]"
