,ROC AUC,Average Precision
STABL Lasso,"0.449 [0.402, 0.492]","0.387 [0.315, 0.460]"
STABL XGBoost,"0.605 [0.522, 0.686]","0.501 [0.405, 0.616]"
STABL ALasso,"0.496 [0.472, 0.517]","0.408 [0.339, 0.481]"
Union STABL Lasso & STABL XGBoost,"0.605 [0.517, 0.684]","0.513 [0.414, 0.631]"
Intersect STABL Lasso & STABL XGBoost,"0.470 [0.429, 0.515]","0.398 [0.326, 0.472]"
Union STABL Lasso & STABL ALasso,"0.446 [0.402, 0.491]","0.388 [0.317, 0.457]"
Intersect STABL Lasso & STABL ALasso,"0.487 [0.467, 0.500]","0.403 [0.332, 0.476]"
Union STABL XGBoost & STABL ALasso,"0.599 [0.513, 0.680]","0.502 [0.403, 0.629]"
Intersect STABL XGBoost & STABL ALasso,"0.492 [0.470, 0.509]","0.406 [0.335, 0.481]"
