,R2,RMSE,MAE
STABL Lasso,"-0.784 [-3.304, 0.428]","42.124 [23.829, 70.572]","23.310 [19.113, 29.267]"
STABL XGBoost,"-0.495 [-2.160, 0.306]","38.561 [25.785, 53.863]","23.875 [20.120, 28.928]"
STABL ALasso,"-0.383 [-2.131, 0.450]","37.092 [23.286, 54.127]","22.296 [18.686, 27.239]"
STABL ElasticNet,"-1.740 [-6.194, 0.391]","52.206 [24.235, 82.240]","24.353 [19.114, 32.778]"
Union STABL Lasso & STABL XGBoost,"-1.140 [-4.166, 0.384]","46.137 [24.296, 70.448]","23.390 [18.802, 29.813]"
Intersect STABL Lasso & STABL XGBoost,"-132.876 [-440.176, 0.011]","364.906 [31.702, 630.112]","53.756 [24.169, 110.223]"
Union STABL Lasso & STABL ALasso,"-0.505 [-2.450, 0.452]","38.691 [23.365, 57.711]","22.363 [18.762, 27.968]"
Intersect STABL Lasso & STABL ALasso,"-132.876 [-424.197, 0.018]","364.906 [31.371, 630.362]","53.756 [24.305, 109.971]"
Union STABL Lasso & STABL ElasticNet,"-0.933 [-3.843, 0.404]","43.851 [24.044, 65.589]","23.554 [19.088, 29.603]"
Intersect STABL Lasso & STABL ElasticNet,"-132.876 [-424.361, -0.045]","364.906 [31.080, 727.050]","53.756 [24.205, 110.997]"
Union STABL XGBoost & STABL ALasso,"-0.527 [-2.213, 0.408]","38.977 [23.991, 56.078]","22.541 [18.536, 27.792]"
Intersect STABL XGBoost & STABL ALasso,"-132.876 [-420.098, -0.009]","364.906 [31.357, 630.206]","53.756 [23.835, 111.474]"
Union STABL XGBoost & STABL ElasticNet,"-4.183 [-13.754, 0.388]","71.799 [24.170, 117.222]","25.930 [18.824, 37.174]"
Intersect STABL XGBoost & STABL ElasticNet,"-132.876 [-425.268, 0.015]","364.906 [31.427, 630.253]","53.756 [24.137, 111.168]"
Union STABL ALasso & STABL ElasticNet,"-1.393 [-4.536, 0.410]","48.791 [23.989, 78.287]","24.097 [19.028, 31.312]"
Intersect STABL ALasso & STABL ElasticNet,"-132.876 [-442.889, -0.005]","364.906 [31.668, 630.263]","53.756 [24.196, 111.292]"
