,ROC AUC,Average Precision
STABL Lasso,"0.640 [0.504, 0.756]","0.333 [0.227, 0.494]"
STABL XGBoost,"0.685 [0.584, 0.781]","0.334 [0.231, 0.492]"
STABL ALasso,"0.629 [0.499, 0.758]","0.331 [0.223, 0.498]"
Union STABL Lasso & STABL XGBoost,"0.695 [0.595, 0.791]","0.348 [0.249, 0.508]"
Intersect STABL Lasso & STABL XGBoost,"0.619 [0.483, 0.749]","0.335 [0.236, 0.483]"
Union STABL Lasso & STABL ALasso,"0.642 [0.521, 0.762]","0.336 [0.224, 0.501]"
Intersect STABL Lasso & STABL ALasso,"0.640 [0.511, 0.756]","0.340 [0.231, 0.508]"
Union STABL XGBoost & STABL ALasso,"0.686 [0.573, 0.773]","0.339 [0.245, 0.501]"
Intersect STABL XGBoost & STABL ALasso,"0.621 [0.483, 0.748]","0.355 [0.238, 0.517]"
