,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.830 [0.716, 0.927]","0.752 [0.592, 0.901]","9.000 [4.000, 17.000]","0.160 [0.100, 0.222]"
STABL ALasso,"0.756 [0.618, 0.883]","0.691 [0.519, 0.843]","5.500 [3.000, 11.000]","0.143 [0.053, 0.222]"
STABL XGBoost,"0.891 [0.804, 0.962]","0.827 [0.647, 0.950]","2.000 [2.000, 3.000]","0.250 [0.000, 0.500]"
