,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.454 [0.412, 0.494]","0.390 [0.320, 0.459]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.494 [0.477, 0.500]","0.406 [0.337, 0.479]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.574 [0.500, 0.663]","0.477 [0.381, 0.596]","5.000 [3.000, 9.000]","0.222 [0.143, 0.333]"
