,STABL Lasso,STABL ALasso,STABL ElasticNet
STABL Lasso,1.0,0.011309449000309151,0.19368062404419373
STABL ALasso,0.011309449000309151,1.0,0.001353599384743653
STABL ElasticNet,0.19368062404419373,0.001353599384743653,1.0
