,Fold selected features,Fold nb of features
Fold 21,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD86dp_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",5
Fold 22,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",3
Fold 23,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'NK_cells_CD56dimCD16+_stromal_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",9
Fold 24,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'Macrophages_M1_M2_stromal_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_fibroblast_stromal_cellfrequency', 'Gland_vascular_endothelium_stromal_cellfrequency']",7
Fold 25,[],0
Fold 26,"['CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_FoxP3+_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",5
Fold 27,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency']",2
Fold 28,['CD8_T_cells_HLA-DR+_glandfront_cellfrequency'],1
Fold 29,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Gland_fibroblast_stromal_cellfrequency']",4
Fold 30,"['B_cells_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Stroma_vascular_endothelium_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",9
