,Feature Name
Feature n°1,unstim_CD4Trm_150Nd_STAT5
Feature n°2,unstim_CXCR4neutro_154Sm_STAT3
Feature n°3,unstim_Granulocytes_155Gd_S6
Feature n°4,unstim_Th1naive_150Nd_STAT5
Feature n°5,unstim_Th1naive_153Eu_STAT1
Feature n°6,unstim_Th1naive_167Er_ERK
Feature n°7,unstim_Th1naive_168Er_pSTAT6
Feature n°8,unstim_Tregnaive_150Nd_STAT5
Feature n°9,unstim_CD4Tcm_Frequency
Feature n°10,unstim_CD4Tnaive_Frequency
Feature n°11,unstim_CD4Trm_Frequency
Feature n°12,unstim_CD56dimCD16posNK_Frequency
Feature n°13,unstim_CD8Tcm_Frequency
Feature n°14,unstim_intMC_Frequency
Feature n°15,unstim_ncMC_Frequency
Feature n°16,unstim_NK_Frequency
Feature n°17,unstim_Tregnaive_Frequency
