,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.531 [0.458, 0.609]","0.521 [0.446, 0.613]","1.500 [0.000, 2.000]","0.000 [0.000, 0.250]"
STABL ALasso,"0.456 [0.410, 0.501]","0.486 [0.419, 0.553]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.600 [0.519, 0.675]","0.607 [0.515, 0.711]","4.000 [3.000, 6.000]","0.143 [0.000, 0.250]"
