,Fold selected features,Fold nb of features
Fold 21,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_glandfront_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency']",8
Fold 22,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'NA_intragland_cellfrequency']",5
Fold 23,[],0
Fold 24,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_stromal_cellfrequency']",4
Fold 25,[],0
Fold 26,['CD8_T_cells_HLA-DR+_glandfront_cellfrequency'],1
Fold 27,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency']",2
Fold 28,[],0
Fold 29,[],0
Fold 30,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency']",2
Fold 31,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD4_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_intragland_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'aSMA-br_glandular_epithelium_stromal_cellfrequency']",9
Fold 32,['CD8_T_cells_HLA-DR+_glandfront_cellfrequency'],1
Fold 33,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",4
Fold 34,[],0
Fold 35,['CD8_T_cells_HLA-DR+_glandfront_cellfrequency'],1
Fold 36,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_cellfrequency', 'Stroma_mesenchymal_intragland_cellfrequency', 'Stroma_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M2-like_intragland_cellfrequency', 'Macrophages_M1_M2_glandfront_cellfrequency', 'Macrophages_MDSC_intragland_cellfrequency', 'Macrophages_MDSC_stromal_cellfrequency', 'Dendritic_Cells_CD86+_glandfront_cellfrequency', 'NKT_stromal_cellfrequency', 'aSMA-br_fibroblast_glandfront_cellfrequency', 'aSMA-br_fibroblast_intragland_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_glandfront_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_fibroblast_glandfront_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'NA_intragland_cellfrequency']",26
Fold 37,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'NA_intragland_cellfrequency']",4
Fold 38,[],0
Fold 39,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",2
Fold 40,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_glandfront_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'NA_intragland_cellfrequency']",11
Fold 41,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Stroma_glandular_epithelium_intragland_cellfrequency', 'Stroma_fibroblast_intragland_cellfrequency', 'NK_cells_CD56dimCD16+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M1_M2_glandfront_cellfrequency', 'Dendritic_Cells_CD86+_glandfront_cellfrequency', 'NKT_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'Gland_epithelial_stem_stromal_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_glandfront_cellfrequency', 'NA_intragland_cellfrequency']",20
Fold 42,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency']",4
Fold 43,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",2
Fold 44,[],0
Fold 45,[],0
Fold 46,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency']",2
Fold 47,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Stroma_mesenchymal_intragland_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_glandfront_cellfrequency']",4
Fold 48,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'NA_intragland_cellfrequency', 'NA_stromal_cellfrequency']",7
Fold 49,"['CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'NA_intragland_cellfrequency']",6
Fold 50,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'NKT_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_cellfrequency', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'aSMA-br_glandular_epithelium_stromal_cellfrequency', 'NA_intragland_cellfrequency', 'NA_stromal_cellfrequency']",10
Fold 51,['CD8_T_cells_HLA-DR+_glandfront_cellfrequency'],1
