,R2,RMSE,MAE,N features,CVS
STABL Lasso,"0.333 [0.182, 0.473]","25.757 [22.760, 28.572]","19.740 [17.293, 22.040]","21.000 [18.000, 27.500]","0.444 [0.333, 0.560]"
STABL ALasso,"0.319 [0.165, 0.451]","26.034 [23.223, 28.887]","20.182 [17.766, 22.479]","21.000 [18.000, 30.250]","0.438 [0.312, 0.552]"
STABL ElasticNet,"0.321 [0.167, 0.441]","25.980 [23.204, 28.645]","20.525 [18.172, 22.816]","40.000 [33.750, 51.000]","0.393 [0.338, 0.456]"
