,Fold selected features,Fold #features
Fold_17,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",10
Fold_18,"['NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",8
Fold_19,"['Macrophages_M1-like_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Macrophages_M1-like_stromal_area', 'Gland_mesenchymal_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",8
Fold_20,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_21,"['Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_Ki67', 'aSMA-br_mesenchymal_stromal_area']",6
Fold_22,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M1-like_stromal_area']",7
Fold_23,"['Gland_glandular_epithelium_intragland_Ki67', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",8
Fold_24,"['Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1_M2_stromal_area', 'Stroma_fibroblast_stromal_area', 'Gland_glandular_epithelium_intragland_Ki67']",4
Fold_25,"['Macrophages_M1-like_glandfront_area', 'NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M1-like_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",10
Fold_26,"['Stroma_vascular_endothelium_glandfront_GranzymeB', 'Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_mesenchymal_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'NKT_glandfront_Ki67', 'Gland_vascular_endothelium_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB']",8
Fold_27,"['Gland_glandular_epithelium_glandfront_Ki67', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",3
Fold_28,"['Macrophages_M1-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'Stroma_fibroblast_glandfront_GranzymeB', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",7
Fold_29,"['CD4_T_cells_FoxP3+_glandfront_celldistance', 'NA_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Stroma_fibroblast_stromal_area']",5
Fold_30,"['Macrophages_M1-like_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",5
Fold_31,['Macrophages_M1-like_stromal_GranzymeB'],1
