,Feature Name
Feature n°1,CD4_T_cells_HLA-DR+_stromal_area
Feature n°2,CD8_T_cells_HLA-DR+_stromal_area
Feature n°3,CD4_T_cells_CD80_CD86+_glandfront_area
Feature n°4,CD4_T_cells_CD80_CD86+_stromal_area
Feature n°5,CD8_T_cells_CD80_CD86+_stromal_area
Feature n°6,Stroma_vascular_endothelium_glandfront_area
Feature n°7,Stroma_vascular_endothelium_stromal_area
Feature n°8,Stroma_fibroblast_glandfront_area
Feature n°9,Stroma_fibroblast_stromal_area
Feature n°10,NK_cells_CD56brCD16-TIM3hi_glandfront_area
Feature n°11,NK_cells_CD56brCD16-TIM3hi_stromal_area
Feature n°12,NK_cells_CD56dimCD16+CD9hi_stromal_area
Feature n°13,NK_cells_CD56brCD16-CD9hi_stromal_area
Feature n°14,Macrophages_M1-like_glandfront_area
Feature n°15,Macrophages_M1_M2_glandfront_area
Feature n°16,Macrophages_M1_M2_stromal_area
Feature n°17,Dendritic_Cells_CD86CD33dp_glandfront_area
Feature n°18,Dendritic_Cells_CD86CD33dp_stromal_area
Feature n°19,Neutrophils_glandfront_area
Feature n°20,Neutrophils_stromal_area
Feature n°21,NKT_glandfront_area
Feature n°22,aSMA-br_fibroblast_stromal_area
Feature n°23,aSMA-br_mesenchymal_stromal_area
Feature n°24,aSMA-br_vascular_endothelium_glandfront_area
Feature n°25,aSMA-br_vascular_endothelium_stromal_area
Feature n°26,Gland_glandular_epithelium_glandfront_area
Feature n°27,Gland_fibroblast_glandfront_area
Feature n°28,CD4_T_cells_CD80_CD86+_stromal_eccentricity
Feature n°29,CD8_T_cells_CD80_CD86+_stromal_eccentricity
Feature n°30,CD4_T_cells_CD11b+_stromal_eccentricity
Feature n°31,Stroma_vascular_endothelium_stromal_eccentricity
Feature n°32,NK_cells_CD56dimCD16+_stromal_eccentricity
Feature n°33,NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity
Feature n°34,Macrophages_M1-like_stromal_eccentricity
Feature n°35,Macrophages_M1_M2_glandfront_eccentricity
Feature n°36,Macrophages_M1_M2_stromal_eccentricity
Feature n°37,aSMA-br_vascular_endothelium_glandfront_eccentricity
Feature n°38,NA_stromal_eccentricity
Feature n°39,Macrophages_M2-like_glandfront_celldistance
Feature n°40,Macrophages_MDSC_glandfront_celldistance
Feature n°41,Gland_fibroblast_glandfront_celldistance
