,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.369 [0.299, 0.439]","0.357 [0.289, 0.439]","1.000 [0.000, 3.000]","0.000 [0.000, 0.125]"
STABL ALasso,"0.417 [0.345, 0.488]","0.372 [0.297, 0.454]","2.000 [0.000, 4.000]","0.000 [0.000, 0.143]"
STABL XGBoost,"0.434 [0.366, 0.502]","0.387 [0.310, 0.466]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
