,R2,RMSE,MAE
STABL Lasso,"0.425 [0.284, 0.530]","23.919 [21.130, 26.347]","18.788 [16.708, 20.959]"
STABL ALasso,"0.430 [0.290, 0.544]","23.801 [21.191, 26.647]","18.760 [16.696, 20.788]"
STABL XGBoost,"0.438 [0.310, 0.535]","23.639 [21.325, 25.925]","18.546 [16.354, 20.868]"
Union STABL Lasso & STABL ALasso,"0.434 [0.306, 0.538]","23.720 [20.952, 26.471]","18.649 [16.600, 20.895]"
Intersect STABL Lasso & STABL ALasso,"0.367 [0.237, 0.479]","25.088 [22.424, 27.767]","20.271 [18.256, 22.566]"
Union STABL Lasso & STABL XGBoost,"0.447 [0.316, 0.549]","23.449 [20.928, 26.097]","18.487 [16.297, 20.509]"
Intersect STABL Lasso & STABL XGBoost,"0.367 [0.239, 0.469]","25.088 [22.366, 27.794]","20.271 [18.148, 22.417]"
Union STABL ALasso & STABL XGBoost,"0.450 [0.311, 0.560]","23.390 [20.821, 25.854]","18.432 [16.356, 20.573]"
Intersect STABL ALasso & STABL XGBoost,"0.367 [0.242, 0.476]","25.088 [22.505, 27.687]","20.271 [18.128, 22.508]"
