,ROC AUC,Average Precision
STABL Lasso,"0.608 [0.535, 0.681]","0.572 [0.484, 0.681]"
STABL ALasso,"0.607 [0.534, 0.677]","0.572 [0.492, 0.683]"
STABL ElasticNet,"0.604 [0.534, 0.680]","0.577 [0.492, 0.687]"
STABL XGBoost,"0.606 [0.534, 0.684]","0.596 [0.502, 0.695]"
Union STABL Lasso & STABL ALasso,"0.609 [0.531, 0.680]","0.571 [0.483, 0.676]"
Intersect STABL Lasso & STABL ALasso,"0.606 [0.532, 0.682]","0.574 [0.491, 0.677]"
Union STABL Lasso & STABL ElasticNet,"0.622 [0.547, 0.700]","0.578 [0.493, 0.681]"
Intersect STABL Lasso & STABL ElasticNet,"0.592 [0.515, 0.664]","0.562 [0.474, 0.670]"
Union STABL Lasso & STABL XGBoost,"0.620 [0.552, 0.698]","0.593 [0.507, 0.693]"
Intersect STABL Lasso & STABL XGBoost,"0.579 [0.495, 0.655]","0.555 [0.468, 0.661]"
Union STABL ALasso & STABL ElasticNet,"0.611 [0.538, 0.683]","0.567 [0.486, 0.670]"
Intersect STABL ALasso & STABL ElasticNet,"0.593 [0.518, 0.666]","0.573 [0.492, 0.669]"
Union STABL ALasso & STABL XGBoost,"0.615 [0.543, 0.696]","0.585 [0.501, 0.691]"
Intersect STABL ALasso & STABL XGBoost,"0.598 [0.519, 0.676]","0.586 [0.505, 0.692]"
Union STABL ElasticNet & STABL XGBoost,"0.622 [0.546, 0.695]","0.588 [0.500, 0.701]"
Intersect STABL ElasticNet & STABL XGBoost,"0.585 [0.505, 0.659]","0.561 [0.478, 0.672]"
