,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_stromal_cellfrequency
Feature n°2,CD8_T_cells_HLA-DR+_glandfront_cellfrequency
Feature n°3,CD8_T_cells_CD80_CD86+_glandfront_cellfrequency
Feature n°4,CD8_T_cells_CD80_CD86+_stromal_cellfrequency
Feature n°5,CD4_T_cells_CD11b+_stromal_cellfrequency
Feature n°6,NK_cells_CD56brCD16-_glandfront_cellfrequency
Feature n°7,Macrophages_M2-like_stromal_cellfrequency
Feature n°8,Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency
Feature n°9,Dendritic_Cells_CD86CD33dp_stromal_cellfrequency
Feature n°10,aSMA-br_vascular_endothelium_stromal_cellfrequency
Feature n°11,Gland_glandular_epithelium_glandfront_cellfrequency
Feature n°12,Gland_glandular_epithelium_intragland_cellfrequency
Feature n°13,Gland_glandular_epithelium_stromal_cellfrequency
Feature n°14,Gland_mesenchymal_glandfront_cellfrequency
Feature n°15,Gland_mesenchymal_intragland_cellfrequency
Feature n°16,Gland_fibroblast_stromal_cellfrequency
Feature n°17,aSMA-br_glandular_epithelium_glandfront_cellfrequency
