,ROC AUC,Average Precision,N features
STABL ALasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL Lasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.722 [0.628, 0.779]","0.674 [0.569, 0.781]","30.000 [30.000, 30.000]"
