,STABL Lasso,STABL ALasso,STABL ElasticNet,STABL XGBoost
STABL Lasso,1.0,0.096,0.002,0.001
STABL ALasso,0.106,1.0,0.003,0.001
STABL ElasticNet,0.001,0.001,1.0,0.0
STABL XGBoost,0.004,0.0,0.0,1.0
