,R2,RMSE,MAE
STABL Lasso,"0.402 [0.270, 0.521]","24.385 [21.776, 26.907]","19.235 [17.038, 21.477]"
STABL XGBoost,"0.354 [0.207, 0.471]","25.341 [22.934, 27.996]","20.265 [18.170, 22.528]"
STABL ALasso,"0.404 [0.269, 0.516]","24.349 [21.587, 26.863]","19.217 [17.044, 21.514]"
STABL ElasticNet,"0.392 [0.259, 0.503]","24.581 [21.888, 27.225]","19.514 [17.391, 21.878]"
Union STABL Lasso & STABL XGBoost,"0.371 [0.226, 0.493]","25.004 [22.267, 27.722]","19.916 [17.736, 22.226]"
Intersect STABL Lasso & STABL XGBoost,"0.367 [0.247, 0.482]","25.088 [22.391, 27.441]","20.271 [18.206, 22.510]"
Union STABL Lasso & STABL ALasso,"0.404 [0.260, 0.512]","24.340 [21.478, 26.958]","19.213 [17.018, 21.539]"
Intersect STABL Lasso & STABL ALasso,"0.367 [0.235, 0.487]","25.088 [22.327, 27.786]","20.271 [18.152, 22.445]"
Union STABL Lasso & STABL ElasticNet,"0.398 [0.248, 0.518]","24.468 [21.612, 27.378]","19.269 [17.283, 21.643]"
Intersect STABL Lasso & STABL ElasticNet,"0.367 [0.250, 0.478]","25.088 [22.505, 27.867]","20.271 [18.157, 22.463]"
Union STABL XGBoost & STABL ALasso,"0.371 [0.230, 0.490]","25.005 [22.160, 27.872]","19.818 [17.578, 22.190]"
Intersect STABL XGBoost & STABL ALasso,"0.367 [0.231, 0.476]","25.088 [22.581, 27.592]","20.271 [18.086, 22.531]"
Union STABL XGBoost & STABL ElasticNet,"0.361 [0.215, 0.481]","25.201 [22.563, 27.795]","20.014 [18.062, 22.233]"
Intersect STABL XGBoost & STABL ElasticNet,"0.367 [0.237, 0.487]","25.088 [22.505, 27.641]","20.271 [18.165, 22.368]"
Union STABL ALasso & STABL ElasticNet,"0.399 [0.254, 0.510]","24.454 [21.780, 26.870]","19.326 [17.125, 21.744]"
Intersect STABL ALasso & STABL ElasticNet,"0.367 [0.221, 0.475]","25.088 [22.668, 27.693]","20.271 [18.245, 22.249]"
