,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.451 [0.363, 0.529]","0.208 [0.142, 0.278]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.518 [0.433, 0.587]","0.233 [0.163, 0.313]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.540 [0.405, 0.667]","0.304 [0.195, 0.464]","4.000 [3.000, 5.250]","0.286 [0.167, 0.400]"
