,ROC AUC,Average Precision
STABL Lasso,"0.884 [0.805, 0.950]","0.597 [0.386, 0.827]"
STABL ElasticNet,"0.769 [0.665, 0.864]","0.335 [0.201, 0.565]"
STABL ALasso,"0.500 [0.500, 0.500]","0.176 [0.099, 0.264]"
STABL XGBoost,"0.954 [0.902, 0.995]","0.881 [0.738, 0.982]"
