,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.471 [0.395, 0.549]","0.473 [0.394, 0.567]","4.000 [2.000, 6.000]","0.125 [0.000, 0.250]"
STABL ALasso,"0.468 [0.396, 0.541]","0.478 [0.410, 0.570]","3.000 [1.000, 5.000]","0.111 [0.000, 0.250]"
STABL XGBoost,"0.441 [0.366, 0.519]","0.448 [0.377, 0.530]","3.000 [1.000, 7.000]","0.000 [0.000, 0.181]"
