,ROC AUC,Average Precision
STABL Lasso,"0.442 [0.358, 0.531]","0.368 [0.294, 0.474]"
STABL XGBoost,"0.558 [0.476, 0.648]","0.498 [0.400, 0.604]"
STABL ALasso,"0.415 [0.336, 0.501]","0.347 [0.282, 0.442]"
Union STABL Lasso & STABL XGBoost,"0.535 [0.456, 0.621]","0.470 [0.373, 0.591]"
Intersect STABL Lasso & STABL XGBoost,"0.488 [0.407, 0.572]","0.390 [0.321, 0.482]"
Union STABL Lasso & STABL ALasso,"0.433 [0.348, 0.516]","0.360 [0.292, 0.449]"
Intersect STABL Lasso & STABL ALasso,"0.426 [0.346, 0.505]","0.353 [0.286, 0.443]"
Union STABL XGBoost & STABL ALasso,"0.531 [0.445, 0.615]","0.470 [0.374, 0.588]"
Intersect STABL XGBoost & STABL ALasso,"0.484 [0.402, 0.565]","0.396 [0.318, 0.499]"
