,ROC AUC,Average Precision,N features
STABL ALasso,"0.557 [0.502, 0.644]","0.501 [0.424, 0.588]","2.000 [2.000, 2.000]"
STABL Lasso,"0.557 [0.502, 0.644]","0.501 [0.424, 0.588]","2.000 [2.000, 2.000]"
STABL XGBoost,"0.557 [0.487, 0.632]","0.485 [0.398, 0.593]","2.000 [2.000, 2.000]"
