,ROC AUC,Average Precision
STABL Lasso,"0.517 [0.436, 0.593]","0.516 [0.435, 0.614]"
STABL XGBoost,"0.451 [0.384, 0.524]","0.472 [0.405, 0.551]"
STABL ALasso,"0.504 [0.430, 0.581]","0.514 [0.434, 0.623]"
Union STABL Lasso & STABL XGBoost,"0.513 [0.437, 0.589]","0.513 [0.437, 0.609]"
Intersect STABL Lasso & STABL XGBoost,"0.466 [0.407, 0.528]","0.481 [0.418, 0.554]"
Union STABL Lasso & STABL ALasso,"0.522 [0.446, 0.598]","0.524 [0.453, 0.633]"
Intersect STABL Lasso & STABL ALasso,"0.501 [0.427, 0.575]","0.509 [0.425, 0.612]"
Union STABL XGBoost & STABL ALasso,"0.504 [0.426, 0.576]","0.506 [0.425, 0.604]"
Intersect STABL XGBoost & STABL ALasso,"0.438 [0.382, 0.497]","0.469 [0.412, 0.542]"
