,ROC AUC,Average Precision,N features
STABL ALasso,"0.693 [0.620, 0.780]","0.630 [0.504, 0.724]","1.000 [1.000, 1.000]"
STABL Lasso,"0.693 [0.620, 0.780]","0.630 [0.504, 0.724]","1.000 [1.000, 1.000]"
STABL XGBoost,"0.682 [0.588, 0.758]","0.651 [0.524, 0.758]","4.000 [4.000, 4.000]"
