,ROC AUC,Average Precision
STABL Lasso,"0.716 [0.619, 0.800]","0.365 [0.266, 0.546]"
STABL XGBoost,"0.722 [0.620, 0.814]","0.408 [0.277, 0.596]"
STABL ALasso,"0.729 [0.631, 0.822]","0.379 [0.266, 0.543]"
Union STABL Lasso & STABL XGBoost,"0.724 [0.625, 0.807]","0.370 [0.259, 0.548]"
Intersect STABL Lasso & STABL XGBoost,"0.700 [0.590, 0.800]","0.406 [0.269, 0.598]"
Union STABL Lasso & STABL ALasso,"0.726 [0.634, 0.820]","0.386 [0.267, 0.558]"
Intersect STABL Lasso & STABL ALasso,"0.733 [0.639, 0.816]","0.385 [0.270, 0.557]"
Union STABL XGBoost & STABL ALasso,"0.727 [0.642, 0.810]","0.379 [0.263, 0.546]"
Intersect STABL XGBoost & STABL ALasso,"0.704 [0.589, 0.805]","0.413 [0.287, 0.601]"
