,ROC AUC,Average Precision,N features
STABL ALasso,"0.609 [0.520, 0.673]","0.488 [0.413, 0.597]","2.000 [2.000, 2.000]"
STABL Lasso,"0.609 [0.520, 0.673]","0.488 [0.413, 0.597]","2.000 [2.000, 2.000]"
STABL XGBoost,"0.613 [0.539, 0.672]","0.526 [0.438, 0.625]","2.000 [2.000, 2.000]"
