,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.374 [0.252, 0.507]","0.609 [0.517, 0.727]","72.500 [41.500, 102.000]","0.143 [0.101, 0.192]"
STABL ALasso,"0.390 [0.266, 0.520]","0.619 [0.524, 0.739]","65.500 [43.000, 88.750]","0.134 [0.095, 0.185]"
STABL XGBoost,"0.392 [0.263, 0.527]","0.618 [0.521, 0.740]","10.000 [7.000, 14.000]","0.133 [0.062, 0.214]"
