,ROC AUC,Average Precision
STABL XGBoost,"0.880 [0.781, 0.963]","0.869 [0.753, 0.953]"
STABL ALasso,"0.765 [0.634, 0.882]","0.725 [0.561, 0.856]"
STABL Lasso,"0.851 [0.751, 0.931]","0.803 [0.644, 0.912]"
Union STABL XGBoost & STABL ALasso,"0.849 [0.734, 0.940]","0.811 [0.654, 0.922]"
Intersect STABL XGBoost & STABL ALasso,"0.895 [0.806, 0.965]","0.855 [0.727, 0.946]"
Union STABL XGBoost & STABL Lasso,"0.849 [0.746, 0.934]","0.793 [0.646, 0.916]"
Intersect STABL XGBoost & STABL Lasso,"0.895 [0.808, 0.965]","0.855 [0.725, 0.949]"
Union STABL ALasso & STABL Lasso,"0.828 [0.716, 0.917]","0.782 [0.613, 0.904]"
Intersect STABL ALasso & STABL Lasso,"0.895 [0.809, 0.962]","0.855 [0.733, 0.945]"
