,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.346,0.19,0.094,0.033,0.005,0.0,0.0,0.0,0.0,0.0
artificial.2,0.173,0.054,0.018,0.009,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.511,0.429,0.338,0.119,0.01,0.0,0.0,0.0,0.0,0.0
artificial.4,0.315,0.133,0.032,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.953,0.915,0.828,0.611,0.285,0.021,0.0,0.0,0.0,0.0
artificial.6,0.629,0.577,0.402,0.155,0.018,0.0,0.0,0.0,0.0,0.0
artificial.7,0.079,0.007,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0
artificial.8,0.554,0.365,0.198,0.134,0.047,0.005,0.0,0.0,0.0,0.0
artificial.9,0.586,0.52,0.475,0.41,0.175,0.008,0.0,0.0,0.0,0.0
artificial.10,0.433,0.246,0.091,0.029,0.014,0.0,0.0,0.0,0.0,0.0
artificial.11,0.659,0.558,0.459,0.279,0.059,0.0,0.0,0.0,0.0,0.0
artificial.12,0.563,0.389,0.199,0.068,0.01,0.0,0.0,0.0,0.0,0.0
artificial.13,0.527,0.374,0.223,0.076,0.017,0.0,0.0,0.0,0.0,0.0
artificial.14,0.365,0.225,0.164,0.107,0.026,0.0,0.0,0.0,0.0,0.0
artificial.15,0.113,0.065,0.014,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.049,0.015,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.241,0.114,0.056,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.247,0.176,0.063,0.014,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.449,0.301,0.159,0.051,0.008,0.0,0.0,0.0,0.0,0.0
artificial.20,0.491,0.431,0.47,0.372,0.097,0.002,0.0,0.0,0.0,0.0
artificial.21,0.73,0.655,0.556,0.357,0.072,0.002,0.0,0.0,0.0,0.0
artificial.22,0.648,0.421,0.201,0.031,0.001,0.0,0.0,0.0,0.0,0.0
artificial.23,0.234,0.205,0.116,0.042,0.004,0.003,0.0,0.0,0.0,0.0
artificial.24,0.713,0.505,0.261,0.061,0.001,0.0,0.0,0.0,0.0,0.0
artificial.25,0.134,0.083,0.053,0.013,0.001,0.0,0.0,0.0,0.0,0.0
artificial.26,0.047,0.019,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.509,0.367,0.219,0.102,0.021,0.0,0.0,0.0,0.0,0.0
