,STABL Lasso,STABL Alasso,STABL ElasticNet,STABL XGBoost
STABL Lasso,1.0,0.0,0.0,0.0
STABL Alasso,0.0,1.0,0.0,0.0
STABL ElasticNet,0.0,0.0,1.0,9.764815531383261e-24
STABL XGBoost,0.0,0.0,9.764815531383261e-24,1.0
