,ROC AUC,Average Precision
STABL Lasso,"0.556 [0.475, 0.631]","0.546 [0.468, 0.648]"
STABL ALasso,"0.536 [0.460, 0.617]","0.525 [0.443, 0.619]"
STABL ElasticNet,"0.479 [0.401, 0.552]","0.491 [0.414, 0.589]"
STABL XGBoost,"0.632 [0.554, 0.704]","0.615 [0.521, 0.723]"
Union STABL Lasso & STABL ALasso,"0.556 [0.478, 0.637]","0.539 [0.457, 0.639]"
Intersect STABL Lasso & STABL ALasso,"0.535 [0.455, 0.611]","0.530 [0.443, 0.630]"
Union STABL Lasso & STABL ElasticNet,"0.545 [0.478, 0.620]","0.540 [0.458, 0.644]"
Intersect STABL Lasso & STABL ElasticNet,"0.490 [0.417, 0.565]","0.497 [0.419, 0.595]"
Union STABL Lasso & STABL XGBoost,"0.631 [0.558, 0.712]","0.609 [0.522, 0.725]"
Intersect STABL Lasso & STABL XGBoost,"0.558 [0.481, 0.637]","0.539 [0.464, 0.638]"
Union STABL ALasso & STABL ElasticNet,"0.518 [0.436, 0.593]","0.516 [0.432, 0.617]"
Intersect STABL ALasso & STABL ElasticNet,"0.478 [0.402, 0.554]","0.493 [0.419, 0.587]"
Union STABL ALasso & STABL XGBoost,"0.634 [0.560, 0.706]","0.616 [0.531, 0.723]"
Intersect STABL ALasso & STABL XGBoost,"0.549 [0.474, 0.625]","0.540 [0.454, 0.640]"
Union STABL ElasticNet & STABL XGBoost,"0.632 [0.555, 0.702]","0.614 [0.529, 0.730]"
Intersect STABL ElasticNet & STABL XGBoost,"0.507 [0.433, 0.581]","0.492 [0.419, 0.583]"
