,ROC AUC,Average Precision
STABL Lasso,"0.447 [0.402, 0.489]","0.384 [0.319, 0.456]"
STABL XGBoost,"0.587 [0.499, 0.668]","0.490 [0.390, 0.618]"
STABL ALasso,"0.496 [0.473, 0.515]","0.408 [0.342, 0.475]"
Union STABL Lasso & STABL XGBoost,"0.586 [0.495, 0.670]","0.492 [0.399, 0.629]"
Intersect STABL Lasso & STABL XGBoost,"0.466 [0.421, 0.509]","0.396 [0.324, 0.465]"
Union STABL Lasso & STABL ALasso,"0.463 [0.416, 0.506]","0.399 [0.327, 0.478]"
Intersect STABL Lasso & STABL ALasso,"0.487 [0.467, 0.500]","0.403 [0.339, 0.471]"
Union STABL XGBoost & STABL ALasso,"0.584 [0.496, 0.664]","0.485 [0.389, 0.612]"
Intersect STABL XGBoost & STABL ALasso,"0.492 [0.466, 0.513]","0.408 [0.339, 0.476]"
