,ROC AUC,Average Precision,N features
STABL ALasso,"0.681 [0.600, 0.757]","0.652 [0.538, 0.727]","3.000 [3.000, 3.000]"
STABL Lasso,"0.660 [0.604, 0.773]","0.672 [0.528, 0.776]","5.000 [5.000, 5.000]"
STABL XGBoost,"0.605 [0.513, 0.709]","0.616 [0.457, 0.745]","4.000 [4.000, 4.000]"
