,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.656 [0.535, 0.776]","0.367 [0.245, 0.549]","4.000 [3.000, 7.000]","0.200 [0.143, 0.333]"
STABL ALasso,"0.611 [0.493, 0.728]","0.317 [0.215, 0.476]","3.000 [2.000, 5.000]","0.200 [0.125, 0.333]"
STABL XGBoost,"0.607 [0.473, 0.727]","0.362 [0.236, 0.557]","7.000 [5.000, 11.000]","0.231 [0.167, 0.333]"
