,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.41,0.292,0.13,0.034,0.001,0.0,0.0,0.0,0.0,0.0
artificial.2,0.244,0.167,0.1,0.063,0.019,0.0,0.0,0.0,0.0,0.0
artificial.3,0.321,0.23,0.155,0.093,0.04,0.005,0.0,0.0,0.0,0.0
artificial.4,0.274,0.183,0.087,0.025,0.003,0.0,0.0,0.0,0.0,0.0
artificial.5,0.284,0.206,0.094,0.022,0.005,0.0,0.0,0.0,0.0,0.0
artificial.6,0.254,0.163,0.069,0.012,0.002,0.0,0.0,0.0,0.0,0.0
artificial.7,0.722,0.693,0.618,0.46,0.165,0.005,0.0,0.0,0.0,0.0
artificial.8,0.313,0.223,0.127,0.036,0.008,0.0,0.0,0.0,0.0,0.0
artificial.9,0.41,0.354,0.304,0.205,0.043,0.0,0.0,0.0,0.0,0.0
artificial.10,0.472,0.415,0.338,0.197,0.064,0.019,0.0,0.0,0.0,0.0
artificial.11,0.301,0.195,0.086,0.023,0.005,0.0,0.0,0.0,0.0,0.0
artificial.12,0.203,0.123,0.045,0.015,0.003,0.0,0.0,0.0,0.0,0.0
artificial.13,0.276,0.188,0.13,0.057,0.022,0.007,0.0,0.0,0.0,0.0
artificial.14,0.401,0.278,0.158,0.047,0.008,0.0,0.0,0.0,0.0,0.0
artificial.15,0.31,0.222,0.17,0.081,0.016,0.0,0.0,0.0,0.0,0.0
artificial.16,0.452,0.325,0.175,0.037,0.005,0.002,0.0,0.0,0.0,0.0
artificial.17,0.32,0.22,0.118,0.031,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.521,0.441,0.341,0.183,0.055,0.0,0.0,0.0,0.0,0.0
artificial.19,0.252,0.204,0.152,0.109,0.044,0.001,0.0,0.0,0.0,0.0
artificial.20,0.167,0.101,0.055,0.018,0.005,0.001,0.0,0.0,0.0,0.0
artificial.21,0.423,0.351,0.262,0.149,0.075,0.026,0.0,0.0,0.0,0.0
artificial.22,0.248,0.17,0.108,0.043,0.014,0.005,0.0,0.0,0.0,0.0
artificial.23,0.294,0.206,0.12,0.052,0.006,0.001,0.0,0.0,0.0,0.0
artificial.24,0.439,0.37,0.264,0.147,0.032,0.0,0.0,0.0,0.0,0.0
