,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.567 [0.497, 0.644]","0.548 [0.468, 0.647]","10.000 [6.000, 16.250]","0.111 [0.053, 0.176]"
STABL ALasso,"0.548 [0.470, 0.616]","0.535 [0.457, 0.635]","7.000 [4.000, 12.000]","0.091 [0.000, 0.154]"
STABL ElasticNet,"0.486 [0.413, 0.566]","0.501 [0.427, 0.601]","5.000 [2.000, 13.250]","0.015 [0.000, 0.111]"
STABL XGBoost,"0.625 [0.552, 0.699]","0.601 [0.517, 0.705]","43.000 [35.000, 49.250]","0.306 [0.256, 0.356]"
