,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.009,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.015,0.012,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.054,0.043,0.016,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.028,0.018,0.013,0.006,0.004,0.0,0.0,0.0,0.0,0.0
artificial.5,0.016,0.017,0.014,0.015,0.006,0.003,0.0,0.0,0.0,0.0
artificial.6,0.075,0.068,0.044,0.027,0.015,0.006,0.0,0.0,0.0,0.0
artificial.7,0.016,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.025,0.013,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.033,0.027,0.02,0.007,0.001,0.0,0.0,0.0,0.0,0.0
artificial.10,0.01,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.035,0.025,0.026,0.01,0.001,0.0,0.0,0.0,0.0,0.0
artificial.12,0.011,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.01,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.006,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.013,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.107,0.086,0.047,0.01,0.002,0.002,0.0,0.0,0.0,0.0
artificial.17,0.01,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.043,0.032,0.025,0.007,0.004,0.0,0.0,0.0,0.0,0.0
artificial.19,0.429,0.42,0.403,0.335,0.18,0.052,0.0,0.0,0.0,0.0
artificial.20,0.025,0.013,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.09,0.076,0.051,0.022,0.007,0.0,0.0,0.0,0.0,0.0
artificial.22,0.114,0.106,0.087,0.055,0.019,0.0,0.0,0.0,0.0,0.0
artificial.23,0.007,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.326,0.313,0.268,0.184,0.05,0.0,0.0,0.0,0.0,0.0
artificial.25,0.02,0.015,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0
artificial.26,0.042,0.035,0.023,0.012,0.009,0.0,0.0,0.0,0.0,0.0
artificial.27,0.018,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.082,0.056,0.031,0.01,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
