,ROC AUC,Average Precision,N features
STABL ALasso,"0.554 [0.486, 0.609]","0.488 [0.411, 0.556]","1.000 [1.000, 1.000]"
STABL Lasso,"0.554 [0.486, 0.609]","0.488 [0.411, 0.556]","1.000 [1.000, 1.000]"
STABL XGBoost,"0.649 [0.564, 0.724]","0.677 [0.550, 0.768]","4.000 [4.000, 4.000]"
