,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.490 [0.408, 0.565]","0.532 [0.445, 0.642]","5.000 [3.000, 9.250]","0.200 [0.125, 0.321]"
STABL ALasso,"0.482 [0.405, 0.557]","0.507 [0.428, 0.604]","4.000 [2.000, 7.000]","0.214 [0.125, 0.333]"
STABL XGBoost,"0.398 [0.335, 0.462]","0.464 [0.396, 0.537]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
