,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
artificial.1,0.0,0.0,0.001,0.0,0.022,0.002,0.138,0.036,0.673,0.445
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.289,0.063
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.001,0.335,0.121
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.312,0.109
artificial.5,0.0,0.0,0.082,0.002,0.316,0.208,0.451,0.334,0.758,0.599
artificial.6,0.0,0.0,0.0,0.0,0.003,0.0,0.021,0.002,0.404,0.142
artificial.7,0.0,0.0,0.001,0.0,0.068,0.018,0.244,0.128,0.738,0.531
artificial.8,0.0,0.0,0.001,0.0,0.006,0.0,0.053,0.009,0.553,0.301
artificial.9,0.0,0.0,0.003,0.0,0.053,0.022,0.148,0.056,0.654,0.387
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.235,0.062
artificial.11,0.0,0.0,0.001,0.0,0.046,0.014,0.191,0.079,0.679,0.461
artificial.12,0.0,0.0,0.001,0.0,0.012,0.004,0.045,0.013,0.34,0.126
artificial.13,0.0,0.0,0.002,0.0,0.051,0.018,0.146,0.065,0.556,0.342
artificial.14,0.0,0.0,0.001,0.0,0.005,0.0,0.015,0.005,0.291,0.075
artificial.15,0.0,0.0,0.045,0.001,0.494,0.296,0.649,0.53,0.871,0.756
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.187,0.034
artificial.17,0.0,0.0,0.0,0.0,0.004,0.001,0.055,0.012,0.526,0.246
artificial.18,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.214,0.052
artificial.19,0.0,0.0,0.0,0.0,0.011,0.002,0.095,0.026,0.58,0.335
