,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.656 [0.529, 0.774]","0.367 [0.251, 0.548]","4.000 [3.000, 7.000]","0.200 [0.143, 0.333]"
STABL ALasso,"0.611 [0.484, 0.740]","0.317 [0.220, 0.487]","3.000 [2.000, 5.000]","0.200 [0.125, 0.333]"
STABL XGBoost,"0.611 [0.466, 0.746]","0.369 [0.240, 0.558]","8.000 [5.000, 12.000]","0.231 [0.154, 0.318]"
