,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.438 [0.388, 0.486]","0.387 [0.320, 0.462]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.437 [0.383, 0.491]","0.386 [0.321, 0.457]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.447 [0.402, 0.489]","0.390 [0.318, 0.464]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
