,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.424 [0.369, 0.479]","0.389 [0.319, 0.459]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.443 [0.404, 0.481]","0.390 [0.322, 0.462]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.335 [0.284, 0.388]","0.345 [0.280, 0.414]","0.000 [0.000, 2.250]","0.000 [0.000, 0.000]"
