,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.652 [0.538, 0.766]","0.359 [0.234, 0.551]","14.000 [8.000, 20.000]","0.168 [0.115, 0.235]"
STABL ALasso,"0.640 [0.518, 0.750]","0.328 [0.228, 0.502]","12.000 [7.000, 18.000]","0.143 [0.091, 0.207]"
STABL XGBoost,"0.660 [0.556, 0.766]","0.341 [0.234, 0.523]","35.000 [27.750, 42.250]","0.279 [0.217, 0.340]"
