,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.295,0.158,0.079,0.029,0.004,0.0,0.0,0.0,0.0,0.0
artificial.2,0.15,0.043,0.015,0.007,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.452,0.363,0.293,0.104,0.007,0.0,0.0,0.0,0.0,0.0
artificial.4,0.295,0.116,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.917,0.886,0.789,0.551,0.243,0.019,0.0,0.0,0.0,0.0
artificial.6,0.523,0.524,0.35,0.141,0.013,0.0,0.0,0.0,0.0,0.0
artificial.7,0.066,0.006,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
artificial.8,0.499,0.325,0.154,0.098,0.04,0.003,0.0,0.0,0.0,0.0
artificial.9,0.501,0.425,0.399,0.336,0.154,0.004,0.0,0.0,0.0,0.0
artificial.10,0.385,0.206,0.067,0.024,0.008,0.0,0.0,0.0,0.0,0.0
artificial.11,0.58,0.476,0.387,0.229,0.049,0.0,0.0,0.0,0.0,0.0
artificial.12,0.501,0.346,0.169,0.05,0.008,0.0,0.0,0.0,0.0,0.0
artificial.13,0.465,0.319,0.17,0.056,0.012,0.0,0.0,0.0,0.0,0.0
artificial.14,0.311,0.165,0.121,0.073,0.017,0.0,0.0,0.0,0.0,0.0
artificial.15,0.091,0.055,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.042,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.208,0.089,0.044,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.195,0.148,0.047,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.388,0.254,0.134,0.043,0.006,0.0,0.0,0.0,0.0,0.0
artificial.20,0.392,0.298,0.363,0.331,0.084,0.0,0.0,0.0,0.0,0.0
artificial.21,0.634,0.583,0.496,0.304,0.059,0.001,0.0,0.0,0.0,0.0
artificial.22,0.606,0.377,0.178,0.025,0.001,0.0,0.0,0.0,0.0,0.0
artificial.23,0.169,0.148,0.093,0.029,0.003,0.0,0.0,0.0,0.0,0.0
artificial.24,0.681,0.469,0.222,0.048,0.001,0.0,0.0,0.0,0.0,0.0
artificial.25,0.103,0.066,0.035,0.01,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.042,0.016,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.414,0.293,0.173,0.072,0.014,0.0,0.0,0.0,0.0,0.0
