,ROC AUC,Average Precision
STABL Lasso,"0.625 [0.550, 0.703]","0.573 [0.491, 0.673]"
STABL ALasso,"0.620 [0.544, 0.699]","0.574 [0.486, 0.674]"
STABL ElasticNet,"0.628 [0.553, 0.701]","0.582 [0.495, 0.686]"
STABL XGBoost,"0.625 [0.547, 0.704]","0.616 [0.525, 0.717]"
Union STABL Lasso & STABL ALasso,"0.626 [0.548, 0.700]","0.574 [0.498, 0.681]"
Intersect STABL Lasso & STABL ALasso,"0.614 [0.534, 0.684]","0.570 [0.495, 0.680]"
Union STABL Lasso & STABL ElasticNet,"0.630 [0.556, 0.702]","0.583 [0.500, 0.688]"
Intersect STABL Lasso & STABL ElasticNet,"0.607 [0.534, 0.688]","0.568 [0.484, 0.672]"
Union STABL Lasso & STABL XGBoost,"0.633 [0.550, 0.696]","0.601 [0.507, 0.710]"
Intersect STABL Lasso & STABL XGBoost,"0.599 [0.526, 0.674]","0.571 [0.483, 0.674]"
Union STABL ALasso & STABL ElasticNet,"0.632 [0.562, 0.709]","0.582 [0.497, 0.690]"
Intersect STABL ALasso & STABL ElasticNet,"0.614 [0.540, 0.689]","0.572 [0.490, 0.676]"
Union STABL ALasso & STABL XGBoost,"0.632 [0.553, 0.708]","0.598 [0.515, 0.711]"
Intersect STABL ALasso & STABL XGBoost,"0.601 [0.534, 0.676]","0.600 [0.516, 0.702]"
Union STABL ElasticNet & STABL XGBoost,"0.631 [0.554, 0.713]","0.603 [0.520, 0.708]"
Intersect STABL ElasticNet & STABL XGBoost,"0.601 [0.519, 0.677]","0.579 [0.493, 0.680]"
