,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.529 [0.451, 0.606]","0.520 [0.443, 0.618]","8.000 [4.000, 17.250]","0.125 [0.059, 0.200]"
STABL ALasso,"0.514 [0.438, 0.593]","0.506 [0.428, 0.606]","6.000 [4.000, 20.000]","0.111 [0.044, 0.196]"
STABL XGBoost,"0.437 [0.385, 0.490]","0.476 [0.409, 0.543]","1.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
