,ROC AUC,Average Precision,N features
STABL ALasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL Lasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.708 [0.608, 0.763]","0.671 [0.562, 0.783]","33.000 [33.000, 33.000]"
