,ROC AUC,Average Precision
STABL Lasso,"0.763 [0.669, 0.845]","0.406 [0.289, 0.589]"
STABL XGBoost,"0.731 [0.633, 0.820]","0.418 [0.289, 0.613]"
STABL ALasso,"0.772 [0.689, 0.844]","0.417 [0.295, 0.596]"
Union STABL Lasso & STABL XGBoost,"0.753 [0.672, 0.836]","0.409 [0.294, 0.605]"
Intersect STABL Lasso & STABL XGBoost,"0.738 [0.630, 0.833]","0.413 [0.293, 0.606]"
Union STABL Lasso & STABL ALasso,"0.763 [0.670, 0.846]","0.419 [0.291, 0.591]"
Intersect STABL Lasso & STABL ALasso,"0.775 [0.697, 0.855]","0.419 [0.297, 0.604]"
Union STABL XGBoost & STABL ALasso,"0.762 [0.671, 0.844]","0.422 [0.289, 0.617]"
Intersect STABL XGBoost & STABL ALasso,"0.742 [0.641, 0.831]","0.418 [0.299, 0.601]"
