,STABL Lasso,STABL ALasso,STABL ElasticNet
STABL Lasso,1.0,0.00010073134276167845,0.00010073134276167845
STABL ALasso,0.00010073134276167845,1.0,1.0
STABL ElasticNet,0.00010073134276167845,1.0,1.0
