,ROC AUC,Average Precision
STABL Lasso,"0.563 [0.489, 0.641]","0.557 [0.474, 0.657]"
STABL ALasso,"0.544 [0.463, 0.622]","0.536 [0.455, 0.637]"
STABL ElasticNet,"0.549 [0.473, 0.619]","0.544 [0.461, 0.654]"
STABL XGBoost,"0.526 [0.449, 0.600]","0.498 [0.420, 0.596]"
Union STABL Lasso & STABL ALasso,"0.560 [0.485, 0.643]","0.549 [0.465, 0.651]"
Intersect STABL Lasso & STABL ALasso,"0.555 [0.484, 0.635]","0.557 [0.471, 0.670]"
Union STABL Lasso & STABL ElasticNet,"0.558 [0.477, 0.635]","0.548 [0.466, 0.654]"
Intersect STABL Lasso & STABL ElasticNet,"0.559 [0.486, 0.636]","0.551 [0.467, 0.660]"
Union STABL Lasso & STABL XGBoost,"0.556 [0.483, 0.632]","0.547 [0.461, 0.646]"
Intersect STABL Lasso & STABL XGBoost,"0.545 [0.475, 0.621]","0.515 [0.439, 0.614]"
Union STABL ALasso & STABL ElasticNet,"0.564 [0.482, 0.635]","0.549 [0.466, 0.648]"
Intersect STABL ALasso & STABL ElasticNet,"0.543 [0.472, 0.622]","0.539 [0.463, 0.639]"
Union STABL ALasso & STABL XGBoost,"0.541 [0.466, 0.612]","0.529 [0.446, 0.633]"
Intersect STABL ALasso & STABL XGBoost,"0.546 [0.468, 0.622]","0.513 [0.435, 0.610]"
Union STABL ElasticNet & STABL XGBoost,"0.556 [0.479, 0.633]","0.536 [0.457, 0.639]"
Intersect STABL ElasticNet & STABL XGBoost,"0.538 [0.457, 0.620]","0.510 [0.436, 0.608]"
