,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
cMCs_HLADR_GMCSF,0.637,0.626,0.548,0.383,0.1,0.0,0.0,0.0,0.0,0.0
intMCs_pCREB_GMCSF,0.761,0.69,0.557,0.34,0.062,0.0,0.0,0.0,0.0,0.0
intMCs_pERK_GMCSF,0.024,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_GMCSF,0.367,0.271,0.17,0.079,0.013,0.0,0.0,0.0,0.0,0.0
MDSCs_pNFkB_GMCSF,0.596,0.315,0.079,0.01,0.001,0.0,0.0,0.0,0.0,0.0
intMCs_pNFkB_GMCSF,0.189,0.124,0.059,0.008,0.001,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_GMCSF,0.645,0.444,0.197,0.028,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_GMCSF,0.648,0.372,0.174,0.064,0.008,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_GMCSF,0.942,0.887,0.729,0.466,0.154,0.002,0.0,0.0,0.0,0.0
MDSCs_pS6_GMCSF,0.084,0.02,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_GMCSF,0.072,0.035,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_GMCSF,0.523,0.386,0.224,0.052,0.008,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_GMCSF,0.149,0.119,0.082,0.043,0.003,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_GMCSF,0.722,0.604,0.394,0.147,0.014,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_GMCSF,0.339,0.276,0.191,0.062,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_GMCSF,0.828,0.636,0.337,0.104,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_GMCSF,0.45,0.3,0.158,0.046,0.012,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_GMCSF,0.557,0.52,0.505,0.499,0.397,0.1,0.0,0.0,0.0,0.0
Granulocytes_pSTAT5_GMCSF,0.632,0.461,0.259,0.132,0.094,0.001,0.0,0.0,0.0,0.0
MDSCs_pSTAT5_GMCSF,0.161,0.096,0.043,0.016,0.017,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT5_GMCSF,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT5_GMCSF,0.013,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT5_GMCSF,0.031,0.004,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT5_GMCSF,0.13,0.05,0.025,0.001,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT5_GMCSF,0.493,0.289,0.129,0.04,0.01,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_GMCSF,0.009,0.008,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_GMCSF,0.017,0.017,0.011,0.008,0.004,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_GMCSF,0.012,0.014,0.011,0.011,0.001,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT6_GMCSF,0.028,0.011,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT6_GMCSF,0.097,0.056,0.022,0.013,0.008,0.0,0.0,0.0,0.0,0.0
