,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.75,0.719,0.619,0.346,0.039,0.0,0.0,0.0,0.0,0.0
artificial.2,0.645,0.463,0.277,0.09,0.002,0.0,0.0,0.0,0.0,0.0
artificial.3,0.674,0.519,0.325,0.146,0.029,0.001,0.0,0.0,0.0,0.0
artificial.4,0.535,0.331,0.152,0.028,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.517,0.342,0.19,0.064,0.008,0.0,0.0,0.0,0.0,0.0
artificial.6,0.633,0.418,0.156,0.029,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.517,0.349,0.209,0.065,0.008,0.0,0.0,0.0,0.0,0.0
artificial.8,0.536,0.409,0.266,0.102,0.012,0.0,0.0,0.0,0.0,0.0
artificial.9,0.526,0.338,0.155,0.041,0.026,0.003,0.0,0.0,0.0,0.0
artificial.10,0.54,0.343,0.181,0.042,0.001,0.0,0.0,0.0,0.0,0.0
artificial.11,0.929,0.929,0.886,0.761,0.367,0.019,0.0,0.0,0.0,0.0
artificial.12,0.646,0.525,0.33,0.109,0.008,0.0,0.0,0.0,0.0,0.0
artificial.13,0.794,0.674,0.516,0.288,0.077,0.005,0.0,0.0,0.0,0.0
artificial.14,0.485,0.323,0.158,0.047,0.002,0.0,0.0,0.0,0.0,0.0
artificial.15,0.63,0.405,0.177,0.033,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.686,0.466,0.222,0.019,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.695,0.503,0.305,0.111,0.018,0.0,0.0,0.0,0.0,0.0
artificial.18,0.433,0.248,0.109,0.019,0.002,0.0,0.0,0.0,0.0,0.0
artificial.19,0.653,0.513,0.356,0.141,0.029,0.001,0.0,0.0,0.0,0.0
artificial.20,0.555,0.397,0.218,0.07,0.007,0.0,0.0,0.0,0.0,0.0
artificial.21,0.556,0.373,0.18,0.044,0.002,0.001,0.0,0.0,0.0,0.0
artificial.22,0.459,0.285,0.124,0.024,0.005,0.0,0.0,0.0,0.0,0.0
artificial.23,0.472,0.313,0.129,0.029,0.003,0.0,0.0,0.0,0.0,0.0
artificial.24,0.629,0.469,0.27,0.081,0.006,0.0,0.0,0.0,0.0,0.0
artificial.25,0.781,0.714,0.59,0.308,0.041,0.0,0.0,0.0,0.0,0.0
artificial.26,0.55,0.35,0.149,0.037,0.002,0.0,0.0,0.0,0.0,0.0
artificial.27,0.838,0.751,0.555,0.277,0.105,0.011,0.0,0.0,0.0,0.0
artificial.28,0.667,0.503,0.295,0.105,0.015,0.001,0.0,0.0,0.0,0.0
artificial.29,0.685,0.468,0.204,0.032,0.002,0.0,0.0,0.0,0.0,0.0
artificial.30,0.784,0.66,0.507,0.271,0.092,0.004,0.0,0.0,0.0,0.0
